CompanyName,CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1,RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE,PreviousName_1.CompanyName,PreviousName_2.CONDATE,PreviousName_2.CompanyName,PreviousName_3.CONDATE,PreviousName_3.CompanyName,PreviousName_4.CONDATE,PreviousName_4.CompanyName,PreviousName_5.CONDATE,PreviousName_5.CompanyName,PreviousName_6.CONDATE,PreviousName_6.CompanyName,PreviousName_7.CONDATE,PreviousName_7.CompanyName,PreviousName_8.CONDATE,PreviousName_8.CompanyName,PreviousName_9.CONDATE,PreviousName_9.CompanyName,PreviousName_10.CONDATE,PreviousName_10.CompanyName,ConfStmtNextDueDate,ConfStmtLastMadeUpDate
SPIEL PLATZ LIMITED,00424683,,,SPIELPLATZ,LYE LANE,BRICKET WOOD,ST ALBANS,,AL2 3TD,Private Limited Company,Active,United Kingdom,NA,29/11/1946,31,12,30/09/2020,31/12/2018,TOTAL EXEMPTION FULL,29/07/2016,01/07/2015,3,2,0,1,55100 - Hotels and similar accommodation,55201 - Holiday centres and villages,55900 - Other accommodation,56302 - Public houses and bars,0,0,http://business.data.gov.uk/id/company/00424683,,,,,,,,,,,,,,,,,,,,,15/07/2020,01/07/2019
MEN WHO SWIM LIMITED,06788931,,,MET FILM LTD,EALING STUDIOS,LONDON,,,W5 5EP,Private Limited Company,Active,United Kingdom,NA,12/01/2009,30,9,30/06/2021,30/09/2019,SMALL,09/02/2017,12/01/2016,0,0,0,0,59111 - Motion picture production activities,,,,0,0,http://business.data.gov.uk/id/company/06788931,,,,,,,,,,,,,,,,,,,,,26/01/2021,12/01/2020
PHILOMENA FOGGS LTD,12579278,,,UNIT 11 ALBION MILLS MIRY LANE,THONGSBRIDGE,HOLMFIRTH,,ENGLAND,HD9 7HP,Private Limited Company,Active,United Kingdom,NA,29/04/2020,30,4,29/01/2022,,NO ACCOUNTS FILED,27/05/2021,,0,0,0,0,56101 - Licensed restaurants,,,,0,0,http://business.data.gov.uk/id/company/12579278,,,,,,,,,,,,,,,,,,,,,12/05/2021,
SCRIPUP LTD,11994859,,,KEMP HOUSE,160 CITY ROAD,LONDON,,UNITED KINGDOM,EC1V 2NX,Private Limited Company,Active,United Kingdom,NA,14/05/2019,31,5,14/02/2021,,NO ACCOUNTS FILED,11/06/2020,,0,0,0,0,96090 - Other service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/11994859,03/01/2020,WHATNUT LIMITED,16/07/2019,EO EUROPE LIMITED,,,,,,,,,,,,,,,,,01/01/2021,18/12/2019
SCI7 LTD,05328061,,,320 MILTON ROAD,,CAMBRIDGE,,,CB4 1LH,Private Limited Company,Active,United Kingdom,NA,10/01/2005,5,4,05/01/2021,05/04/2019,,07/02/2017,10/01/2016,0,0,0,0,62090 - Other information technology service activities,63990 - Other information service activities n.e.c.,72190 - Other research and experimental development on natural sciences and engineering,90030 - Artistic creation,0,0,http://business.data.gov.uk/id/company/05328061,,,,,,,,,,,,,,,,,,,,,24/01/2021,10/01/2020
MAVEN TOPCO LIMITED,FC036630,,,"EAST WING, TRAFALGAR COURT",LES BANQUES,ST PETER PORT,GUERNSEY,GUERNSEY,,Other company type,Active,GUERNSEY,NA,18/07/2018,31,7,,,NO ACCOUNTS FILED,,,0,0,0,0,None Supplied,,,,0,0,http://business.data.gov.uk/id/company/FC036630,,,,,,,,,,,,,,,,,,,,,,
ORANGEBOX TRAINING SOLUTIONS LIMITED,10120000,,,EXCHANGE BUILDING,66 CHURCH STREET,HARTLEPOOL,CLEVELAND,UNITED KINGDOM,TS24 7DN,Private Limited Company,Active,United Kingdom,NA,12/04/2016,31,3,31/12/2020,31/03/2019,,10/05/2017,,0,0,0,0,85590 - Other education n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/10120000,,,,,,,,,,,,,,,,,,,,,26/04/2021,12/04/2020
TORPHINS PHARMACY LIMITED,SC337722,,,26 CRAIGOUR ROAD,TORPHINS,ABERDEENSHIRE,,,AB31 4HE,Private Limited Company,Active,United Kingdom,NA,12/02/2008,31,3,31/12/2020,31/03/2019,,12/03/2017,12/02/2016,0,0,0,0,47730 - Dispensing chemist in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/SC337722,,,,,,,,,,,,,,,,,,,,,26/02/2021,12/02/2020
PEARL TOURISM AND LEISURE GROUP LIMITED,11448433,,,51 ALEXANDRA AVE,,SOUTH HARROW,MIDDX,UNITED KINGDOM,HA2 8PQ,Private Limited Company,Active,United Kingdom,NA,04/07/2018,31,7,30/04/2021,31/07/2019,DORMANT,01/08/2019,,0,0,0,0,79120 - Tour operator activities,,,,0,0,http://business.data.gov.uk/id/company/11448433,,,,,,,,,,,,,,,,,,,,,20/01/2021,06/01/2020
SELLY OAK TYRES (STIRCHLEY) LTD,10121391,,,MERYLL HOUSE,57 WORCESTER ROAD,BROMSGROVE,WORCESTERSHIRE,ENGLAND,B61 7DN,Private Limited Company,Active,United Kingdom,NA,13/04/2016,30,4,31/01/2021,30/04/2019,,11/05/2017,,0,0,0,0,45200 - Maintenance and repair of motor vehicles,,,,0,0,http://business.data.gov.uk/id/company/10121391,,,,,,,,,,,,,,,,,,,,,26/04/2020,12/04/2019
TECHTIQ SOLUTIONS LTD.,11036244,,,63 ST MARY AXE,ST. MARY AXE,LONDON,,ENGLAND,EC3A 8AA,Private Limited Company,Active,United Kingdom,NA,27/10/2017,31,10,31/07/2020,31/10/2018,,24/11/2018,,0,0,0,0,62012 - Business and domestic software development,,,,0,0,http://business.data.gov.uk/id/company/11036244,,,,,,,,,,,,,,,,,,,,,09/11/2020,26/10/2019
JHHARPER LTD,SC609665,,,25 CULZEAN CRESCENT,,KILMARNOCK,,UNITED KINGDOM,KA3 7DR,Private Limited Company,Active,United Kingdom,NA,02/10/2018,31,10,02/07/2020,,NO ACCOUNTS FILED,30/10/2019,,0,0,0,0,33160 - Repair and maintenance of aircraft and spacecraft,,,,0,0,http://business.data.gov.uk/id/company/SC609665,,,,,,,,,,,,,,,,,,,,,15/10/2020,01/10/2019
ASHFORD PROFIT LP,SL023709,,,35 CLAVERHOUSE DRIVE,,EDINBURGH,,UNITED KINGDOM,EH16 6BX,Limited Partnership,Active,United Kingdom,NA,17/11/2015,NA,NA,,,NO ACCOUNTS FILED,,,0,0,0,0,None Supplied,,,,1,1,http://business.data.gov.uk/id/company/SL023709,,,,,,,,,,,,,,,,,,,,,01/12/2018,17/11/2017
HARDING HOMES LTD,12364536,,,2 WYTHENSHAWE WALK,,CHESTER LE STREET,,ENGLAND,DH3 2ED,Private Limited Company,Active,United Kingdom,NA,16/12/2019,31,12,16/09/2021,,NO ACCOUNTS FILED,13/01/2021,,0,0,0,0,68100 - Buying and selling of own real estate,68209 - Other letting and operating of own or leased real estate,68320 - Management of real estate on a fee or contract basis,,0,0,http://business.data.gov.uk/id/company/12364536,,,,,,,,,,,,,,,,,,,,,29/12/2020,
ASPIRE ESTATES LIMITED,10356524,,,UNIT 8 CHASE PARK,DALESIDE ROAD,NOTTINGHAM,,ENGLAND,NG2 4GT,Private Limited Company,Active,United Kingdom,NA,02/09/2016,30,9,30/06/2021,30/09/2019,TOTAL EXEMPTION FULL,30/09/2017,,2,2,0,0,68209 - Other letting and operating of own or leased real estate,,,,0,0,http://business.data.gov.uk/id/company/10356524,,,,,,,,,,,,,,,,,,,,,15/09/2020,01/09/2019
BERNARD DIXON & PARTNERS LIMITED,00660886,,,"PAMPISFORD PLACE, BREWERY ROAD",PAMPISFORD,CAMBRIDGE,CAMBS,,CB22 3HG,Private Limited Company,Active,United Kingdom,NA,30/05/1960,31,8,31/05/2021,31/08/2019,DORMANT,14/03/2017,14/02/2016,2,2,0,0,74990 - Non-trading company,,,,0,0,http://business.data.gov.uk/id/company/00660886,,,,,,,,,,,,,,,,,,,,,28/02/2021,14/02/2020
THE PERFORMANCE TREE LTD.,SC299511,,,"FLAT 9, 389 EASTER ROAD",EDINBURGH,,,,EH6 8HU,Private Limited Company,Active,United Kingdom,NA,24/03/2006,31,5,28/02/2021,31/05/2019,,20/05/2017,22/04/2016,0,0,0,0,70229 - Management consultancy activities other than financial management,"74909 - Other professional, scientific and technical activities n.e.c.",,,0,0,http://business.data.gov.uk/id/company/SC299511,24/07/2009,THE TRAINING TREE LIMITED,,,,,,,,,,,,,,,,,,,19/05/2020,05/05/2019
SECARCH LIMITED,07681461,,,THE RETREAT,406 RODING LANE SOUTH,WOODFORD GREEN,ESSEX,ENGLAND,IG8 8EY,Private Limited Company,Active,United Kingdom,NA,24/06/2011,28,12,28/09/2020,28/12/2018,TOTAL EXEMPTION FULL,22/07/2017,24/06/2016,0,0,0,0,"74909 - Other professional, scientific and technical activities n.e.c.",,,,0,0,http://business.data.gov.uk/id/company/07681461,02/03/2015,LOGPICK LIMITED,13/09/2012,DFM SOLUTIONS LIMITED,,,,,,,,,,,,,,,,,08/07/2020,24/06/2019
A SMITH LTD,11724317,,,THE OLD VICARAGE,CHURCH CLOSE,BOSTON,LINCOLNSHIRE,ENGLAND,PE21 6NA,Private Limited Company,Active,United Kingdom,NA,12/12/2018,31,12,12/09/2020,,NO ACCOUNTS FILED,09/01/2020,,0,0,0,0,"43220 - Plumbing, heat and air-conditioning installation",,,,0,0,http://business.data.gov.uk/id/company/11724317,,,,,,,,,,,,,,,,,,,,,25/12/2020,11/12/2019
DREAM DAYS NURSERY LIMITED,12498116,,,105 SENWICK ROAD,,WELLINGBOROUGH,,UNITED KINGDOM,NN8 1NJ,Private Limited Company,Active,United Kingdom,NA,04/03/2020,31,3,04/12/2021,,NO ACCOUNTS FILED,01/04/2021,,0,0,0,0,88910 - Child day-care activities,,,,0,0,http://business.data.gov.uk/id/company/12498116,,,,,,,,,,,,,,,,,,,,,17/03/2021,
INFINITE PICTURES LIMITED,08223642,,,2ND FLOOR,69/85 TABERNACLE STREET,LONDON,,,EC2A 4RR,Private Limited Company,Active,United Kingdom,NA,21/09/2012,30,9,30/06/2020,30/09/2018,DORMANT,19/10/2016,21/09/2015,0,0,0,0,59111 - Motion picture production activities,,,,0,0,http://business.data.gov.uk/id/company/08223642,26/09/2012,INFINATE PICTURES LIMITED,,,,,,,,,,,,,,,,,,,05/10/2020,21/09/2019
RIHA GROUP LTD,11016842,,,85 GREAT PORTLAND STREET,GREAT PORTLAND STREET,LONDON,,ENGLAND,W1W 7LT,Private Limited Company,Active,United Kingdom,NA,17/10/2017,31,10,31/07/2020,31/10/2018,,14/11/2018,,0,0,0,0,98000 - Residents property management,,,,0,0,http://business.data.gov.uk/id/company/11016842,,,,,,,,,,,,,,,,,,,,,30/10/2020,16/10/2019
PRINTXTREME LTD,11897074,,,1 NELSON STREET,SOUTHEND ON SEA,ESSEX,,UNITED KINGDOM,SS1 1EG,Private Limited Company,Active,United Kingdom,NA,21/03/2019,31,3,21/12/2020,,NO ACCOUNTS FILED,18/04/2020,,0,0,0,0,18129 - Printing n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/11897074,,,,,,,,,,,,,,,,,,,,,03/04/2021,20/03/2020
STOKE HOUSING LIMITED,05736143,,,RED HOUSE FARM,COOLE LANE,NANTWICH,CHESHIRE,ENGLAND,CW5 8AU,Private Limited Company,Active,United Kingdom,NA,09/03/2006,31,12,30/09/2020,31/12/2018,TOTAL EXEMPTION FULL,06/04/2017,09/03/2016,2,2,0,0,41100 - Development of building projects,,,,0,0,http://business.data.gov.uk/id/company/05736143,,,,,,,,,,,,,,,,,,,,,23/03/2021,09/03/2020
PWE HOLDINGS PLC,10174331,,,1210 PARKVIEW ARLINGTON BUSINESS PARK,THEALE,READING,,ENGLAND,RG7 4TY,Public Limited Company,Active,United Kingdom,NA,11/05/2016,31,3,30/09/2020,31/12/2018,GROUP,08/06/2017,,3,3,0,0,35110 - Production of electricity,,,,0,0,http://business.data.gov.uk/id/company/10174331,,,,,,,,,,,,,,,,,,,,,01/12/2020,17/11/2019
CLAREMONT FREEHOLD LIMITED,03982617,,,C/O BARTHOLOMEWS,15 PENRHYN ROAD,KINGSTON UPON THAMES,,ENGLAND,KT1 2BZ,Private Limited Company,Active,United Kingdom,NA,28/04/2000,31,12,30/09/2020,31/12/2018,,26/05/2017,28/04/2016,0,0,0,0,98000 - Residents property management,,,,0,0,http://business.data.gov.uk/id/company/03982617,,,,,,,,,,,,,,,,,,,,,12/05/2020,28/04/2019
JACOBS ACCOUNTANTS LIMITED,12410990,,,10 RADFORD BOULEVARD,,NOTTINGHAM,,ENGLAND,NG7 3BP,Private Limited Company,Active,United Kingdom,NA,17/01/2020,31,1,17/10/2021,,NO ACCOUNTS FILED,14/02/2021,,0,0,0,0,69201 - Accounting and auditing activities,71122 - Engineering related scientific and technical consulting activities,,,0,0,http://business.data.gov.uk/id/company/12410990,,,,,,,,,,,,,,,,,,,,,30/01/2021,
BACKYARD FOOTBALL LEAGUE LTD,12252360,,,67 BAMBOO CRESCENT,,BRAINTREE,,UNITED KINGDOM,CM7 1GP,Private Limited Company,Active,United Kingdom,NA,09/10/2019,31,10,09/07/2021,,NO ACCOUNTS FILED,06/11/2020,,0,0,0,0,93199 - Other sports activities,,,,0,0,http://business.data.gov.uk/id/company/12252360,,,,,,,,,,,,,,,,,,,,,22/10/2020,
KATIE HALEY LIMITED,12148303,,,9 BELSWAINS GREEN,,HEMEL HEMPSTEAD,,ENGLAND,HP3 9PL,Private Limited Company,Active,United Kingdom,NA,09/08/2019,31,8,09/05/2021,,NO ACCOUNTS FILED,06/09/2020,,0,0,0,0,47910 - Retail sale via mail order houses or via Internet,,,,0,0,http://business.data.gov.uk/id/company/12148303,,,,,,,,,,,,,,,,,,,,,22/08/2020,
SUBSET SOLUTIONS UK LIMITED,09542306,,,PO BOX 1327,WOODGRANGE AVENUE,ENFIELD,,ENGLAND,EN1 9AE,Private Limited Company,Active,United Kingdom,NA,14/04/2015,30,4,31/01/2020,30/04/2018,,12/05/2017,14/04/2016,0,0,0,0,62020 - Information technology consultancy activities,,,,0,0,http://business.data.gov.uk/id/company/09542306,,,,,,,,,,,,,,,,,,,,,28/04/2021,14/04/2020
JASONIC LIMITED,02216515,,,UNITS 8 & 9,MERTHYR INDUSTRIAL ESTATE,"DOWLAIS, MERTHYR TYDFIL",MID GLAMORGAN,,CF48 2TD,Private Limited Company,Active,United Kingdom,NA,02/02/1988,31,12,30/09/2020,31/12/2018,TOTAL EXEMPTION FULL,26/12/2016,28/11/2015,3,1,0,2,46130 - Agents involved in the sale of timber and building materials,,,,0,0,http://business.data.gov.uk/id/company/02216515,,,,,,,,,,,,,,,,,,,,,12/12/2020,28/11/2019
SHEEPSKIN LIMITED,10827994,,,TRAVEL CHAPTER HOUSE,GAMMATON ROAD,BIDEFORD,,ENGLAND,EX39 4DF,Private Limited Company,Active,United Kingdom,NA,20/06/2017,30,6,31/03/2021,30/06/2019,DORMANT,18/07/2018,,0,0,0,0,99999 - Dormant Company,,,,0,0,http://business.data.gov.uk/id/company/10827994,,,,,,,,,,,,,,,,,,,,,03/07/2020,19/06/2019
TECH-WRITE LTD,09394748,,,1 TAN Y MAES,,LLANDUDNO JUNCTION,GWYNEDD,,LL31 9TX,Private Limited Company,Active,United Kingdom,NA,19/01/2015,31,1,31/10/2020,31/01/2019,,19/03/2017,19/02/2016,0,0,0,0,"74909 - Other professional, scientific and technical activities n.e.c.",,,,0,0,http://business.data.gov.uk/id/company/09394748,,,,,,,,,,,,,,,,,,,,,21/04/2020,07/04/2019
P.R. DESIGNS LIMITED,03411080,,,182 FERNHILL ROAD,FARNBOROUGH,HAMPSHIRE,,,GU14 9ED,Private Limited Company,Active,United Kingdom,NA,29/07/1997,30,9,30/06/2021,30/09/2019,TOTAL EXEMPTION FULL,26/08/2016,29/07/2015,0,0,0,0,71121 - Engineering design activities for industrial process and production,,,,0,0,http://business.data.gov.uk/id/company/03411080,,,,,,,,,,,,,,,,,,,,,12/08/2020,29/07/2019
CHALMERS AND GREENAWAY LIMITED,11390074,,,"GLOBAL HOUSE, SUITE 3, 379",SOUTHCHURCH ROAD,SOUTHEND-ON-SEA,,ENGLAND,SS1 2PQ,Private Limited Company,Active,United Kingdom,NA,31/05/2018,31,5,28/02/2021,31/05/2019,TOTAL EXEMPTION FULL,28/06/2019,,0,0,0,0,18129 - Printing n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/11390074,,,,,,,,,,,,,,,,,,,,,13/06/2020,30/05/2019
LANCS & CUMBRIA LIFTS (UK) LTD,06949010,,,DOUGLAS BANK HOUSE,WIGAN LANE,WIGAN,LANCASHIRE,,WN1 2TB,Private Limited Company,Active,United Kingdom,NA,01/07/2009,31,5,28/02/2021,31/05/2019,TOTAL EXEMPTION FULL,29/07/2016,01/07/2015,2,2,0,0,46690 - Wholesale of other machinery and equipment,,,,0,0,http://business.data.gov.uk/id/company/06949010,02/11/2011,NORWEST ELECTRICAL SALES LTD,,,,,,,,,,,,,,,,,,,15/07/2020,01/07/2019
COOPER T E SERVICES UK LTD,11282691,,,UNIT 9 CREEKMOUTH IND ESTATE,57 RIVER ROAD,BARKING,ESSEX,ENGLAND,IG11 0DA,Private Limited Company,Active,United Kingdom,NA,29/03/2018,31,3,31/12/2020,31/03/2019,TOTAL EXEMPTION FULL,26/04/2019,,0,0,0,0,41202 - Construction of domestic buildings,,,,0,0,http://business.data.gov.uk/id/company/11282691,,,,,,,,,,,,,,,,,,,,,11/04/2020,28/03/2019
R W HENDERSON LIMITED,SC234040,,,5 RUBISLAW TERRACE,C/O JM TAYLOR,ABERDEEN,,SCOTLAND,AB10 1XE,Private Limited Company,Active,United Kingdom,NA,11/07/2002,31,10,31/07/2020,31/10/2018,,08/08/2016,11/07/2015,1,1,0,0,"10200 - Processing and preserving of fish, crustaceans and molluscs",,,,0,0,http://business.data.gov.uk/id/company/SC234040,,,,,,,,,,,,,,,,,,,,,25/07/2020,11/07/2019
SHAOLIN ENTERPRISES LIMITED,11922016,,,14 GLADSTONE ROAD,,ASHTEAD,SURREY,ENGLAND,KT21 2NS,Private Limited Company,Active,United Kingdom,NA,02/04/2019,30,4,02/01/2021,,NO ACCOUNTS FILED,30/04/2020,,0,0,0,0,62020 - Information technology consultancy activities,,,,0,0,http://business.data.gov.uk/id/company/11922016,,,,,,,,,,,,,,,,,,,,,15/04/2021,01/04/2020
MOORCROFT SEAFOODS LIMITED,06950070,,,UNIT 13,SPENCER STREET,GRIMSBY,NORTH EAST LINCOLNSHIRE,,DN31 3AA,Private Limited Company,Active,United Kingdom,NA,01/07/2009,31,8,31/05/2020,31/08/2018,TOTAL EXEMPTION FULL,29/07/2016,01/07/2015,0,0,0,0,"46380 - Wholesale of other food, including fish, crustaceans and molluscs",,,,0,0,http://business.data.gov.uk/id/company/06950070,,,,,,,,,,,,,,,,,,,,,15/07/2020,01/07/2019
TTJT PARTNERSHIP LIMITED,12161761,,,3 BELL LANE,,STEVENAGE,,ENGLAND,SG1 3HW,Private Limited Company,Active,United Kingdom,NA,19/08/2019,31,8,19/05/2021,,NO ACCOUNTS FILED,16/09/2020,,0,0,0,0,64922 - Activities of mortgage finance companies,,,,0,0,http://business.data.gov.uk/id/company/12161761,,,,,,,,,,,,,,,,,,,,,01/09/2020,
MP ESTATES LIMITED,04388774,,,4 FAR MOSS ROAD,LIVERPOOL,MERSEYSIDE,,,L23 8TQ,Private Limited Company,Active,United Kingdom,NA,06/03/2002,31,3,31/12/2020,31/03/2019,DORMANT,03/04/2017,06/03/2016,0,0,0,0,68100 - Buying and selling of own real estate,68209 - Other letting and operating of own or leased real estate,,,0,0,http://business.data.gov.uk/id/company/04388774,,,,,,,,,,,,,,,,,,,,,20/03/2021,06/03/2020
ODOUR CONTROL LTD,06119681,,,6 OLD ROAD,,ROMSEY,HAMPSHIRE,,SO51 7WH,Private Limited Company,Active,United Kingdom,NA,21/02/2007,31,3,31/12/2020,31/03/2019,,21/03/2017,21/02/2016,0,0,0,0,39000 - Remediation activities and other waste management services,,,,0,0,http://business.data.gov.uk/id/company/06119681,23/09/2008,COBRA ENVIRONMENTAL SOLUTIONS LIMITED,,,,,,,,,,,,,,,,,,,07/03/2021,21/02/2020
STUNERZ LIMITED,05864572,,,613 BORDESLEY GREEN,,BIRMINGHAM,WEST MIDLANDS,,B9 5XZ,Private Limited Company,Active,United Kingdom,NA,03/07/2006,31,7,30/04/2021,31/07/2019,,31/07/2016,03/07/2015,0,0,0,0,96020 - Hairdressing and other beauty treatment,,,,0,0,http://business.data.gov.uk/id/company/05864572,,,,,,,,,,,,,,,,,,,,,17/07/2020,03/07/2019
HATS HEATING LTD,07564500,,,62 VITTORIA STREET,,WIRRAL,,UNITED KINGDOM,CH41 3NX,Private Limited Company,Active,United Kingdom,NA,15/03/2011,31,3,31/12/2020,31/03/2019,TOTAL EXEMPTION FULL,12/04/2017,15/03/2016,0,0,0,0,82990 - Other business support service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/07564500,,,,,,,,,,,,,,,,,,,,,29/03/2021,15/03/2020
MEYLA LTD,12283933,,,127 HOE STREET,,LONDON,,ENGLAND,E17 4RX,Private Limited Company,Active,United Kingdom,NA,28/10/2019,31,10,28/07/2021,,NO ACCOUNTS FILED,25/11/2020,,0,0,0,0,98000 - Residents property management,,,,0,0,http://business.data.gov.uk/id/company/12283933,,,,,,,,,,,,,,,,,,,,,10/11/2020,
WEST LONDON STUDENTS' UNION,08158543,,,WLSU,ST MARY'S ROAD,LONDON,,,W5 5RF,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)",Active,United Kingdom,NA,26/07/2012,31,7,30/04/2021,31/07/2019,TOTAL EXEMPTION FULL,23/08/2016,26/07/2015,0,0,0,0,85600 - Educational support services,,,,0,0,http://business.data.gov.uk/id/company/08158543,,,,,,,,,,,,,,,,,,,,,09/08/2020,26/07/2019
ADS CONTRACT SERVICES LIMITED,11370390,,,9 HARRIS LANE,SHENLEY,RADLETT,HERTFORDSHIRE,ENGLAND,WD7 9ED,Private Limited Company,Active,United Kingdom,NA,18/05/2018,31,5,28/02/2021,31/05/2019,UNAUDITED ABRIDGED,15/06/2019,,0,0,0,0,43390 - Other building completion and finishing,,,,0,0,http://business.data.gov.uk/id/company/11370390,,,,,,,,,,,,,,,,,,,,,01/06/2020,18/05/2019
FAIR'S FAIR LEGAL SERVICES LTD,12175550,,,71-75 SHELTON STREET,COVENT GARDEN,LONDON,,ENGLAND,WC2H 9JQ,Private Limited Company,Active,United Kingdom,NA,27/08/2019,31,8,27/05/2021,,NO ACCOUNTS FILED,24/09/2020,,0,0,0,0,69102 - Solicitors,,,,0,0,http://business.data.gov.uk/id/company/12175550,,,,,,,,,,,,,,,,,,,,,09/09/2020,
SHEEMU UK LTD,12520163,,,38-41 CAMPERDOWN,,GREAT YARMOUTH,,UNITED KINGDOM,NR30 3JB,Private Limited Company,Active,United Kingdom,NA,17/03/2020,31,3,17/12/2021,,NO ACCOUNTS FILED,14/04/2021,,0,0,0,0,55100 - Hotels and similar accommodation,,,,0,0,http://business.data.gov.uk/id/company/12520163,,,,,,,,,,,,,,,,,,,,,30/03/2021,
STRATEGY FIRST LTD.,03366345,,,1 THOROLD ROAD,,FARNHAM,SURREY,,GU9 7JY,Private Limited Company,Active,United Kingdom,NA,07/05/1997,6,5,06/02/2021,06/05/2019,,04/06/2017,07/05/2016,0,0,0,0,70100 - Activities of head offices,,,,0,0,http://business.data.gov.uk/id/company/03366345,21/08/2003,DOG HOUSE DEVELOPMENTS LIMITED,,,,,,,,,,,,,,,,,,,21/05/2020,07/05/2019
SHIRE FARM SERVICES LIMITED,06075377,,,52 NORTHFIELD DRIVE,WOODSETTS,WORKSOP,NOTTINGHAMSHIRE,,S81 8QG,Private Limited Company,Active,United Kingdom,NA,31/01/2007,31,7,30/04/2021,31/07/2019,,28/02/2017,31/01/2016,2,2,0,0,81300 - Landscape service activities,,,,0,0,http://business.data.gov.uk/id/company/06075377,,,,,,,,,,,,,,,,,,,,,14/02/2021,31/01/2020
UNIVERSAL ADHESIVE SYSTEMS LIMITED,04723374,,,UNIT 12,FARTHING ROAD INN EST,IPSWICH,SUFFOLK,,IP1 5AP,Private Limited Company,Active,United Kingdom,NA,04/04/2003,30,4,31/01/2021,30/04/2019,TOTAL EXEMPTION FULL,02/05/2017,04/04/2016,0,0,0,0,32990 - Other manufacturing n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/04723374,,,,,,,,,,,,,,,,,,,,,25/11/2020,11/11/2019
DAN WATSON COMMUNICATIONS SERVICES LTD,10130642,,,30 CLEVELEYS ROAD,,LONDON,,ENGLAND,E5 9JN,Private Limited Company,Active,United Kingdom,NA,18/04/2016,30,4,31/01/2021,30/04/2019,,16/05/2017,,0,0,0,0,59112 - Video production activities,,,,0,0,http://business.data.gov.uk/id/company/10130642,,,,,,,,,,,,,,,,,,,,,01/05/2021,17/04/2020
WENMEAD LIMITED,07022555,,,88-90 BAKER STREET,,LONDON,,,W1U 6TQ,Private Limited Company,Active,United Kingdom,NA,17/09/2009,30,9,30/06/2020,30/09/2018,,15/10/2016,17/09/2015,0,0,0,0,90020 - Support activities to performing arts,,,,0,0,http://business.data.gov.uk/id/company/07022555,,,,,,,,,,,,,,,,,,,,,01/10/2020,17/09/2019
CHEGS SERVICES LIMITED,09482632,,,15 LAMPITS HILL,CORRINGHAM,STANFORD-LE-HOPE,,ENGLAND,SS17 9AA,Private Limited Company,Active,United Kingdom,NA,10/03/2015,31,3,31/12/2020,31/03/2019,TOTAL EXEMPTION FULL,07/04/2017,10/03/2016,0,0,0,0,43210 - Electrical installation,,,,0,0,http://business.data.gov.uk/id/company/09482632,,,,,,,,,,,,,,,,,,,,,24/03/2021,10/03/2020
VOGUE MANAGEMENT LTD,10663081,,,ANDREW JAMES HOUSE,BRIDGE ROAD,ASHFORD,KENT,ENGLAND,TN23 1BB,Private Limited Company,Active,United Kingdom,NA,10/03/2017,31,3,31/12/2020,31/03/2019,DORMANT,07/04/2018,,0,0,0,0,82990 - Other business support service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/10663081,,,,,,,,,,,,,,,,,,,,,23/03/2021,09/03/2020
INTEGRATED MANAGEMENT & DESIGN SERVICES LTD,07253872,,,"UNIT 7, SINCLAIR WAY",PRESCOT BUSINESS PARK,PRESCOT,MERSEYSIDE,ENGLAND,L34 1QL,Private Limited Company,Active,United Kingdom,NA,14/05/2010,31,7,30/04/2021,31/07/2019,,11/06/2017,14/05/2016,0,0,0,0,70229 - Management consultancy activities other than financial management,,,,0,0,http://business.data.gov.uk/id/company/07253872,,,,,,,,,,,,,,,,,,,,,28/05/2020,14/05/2019
AGNES & MO LTD,11696785,,,11A SUNCOTE AVENUE,,DUNSTABLE,,UNITED KINGDOM,LU6 1BN,Private Limited Company,Active,United Kingdom,NA,26/11/2018,30,11,26/08/2020,,NO ACCOUNTS FILED,24/12/2019,,0,0,0,0,42910 - Construction of water projects,56210 - Event catering activities,,,0,0,http://business.data.gov.uk/id/company/11696785,,,,,,,,,,,,,,,,,,,,,09/12/2020,25/11/2019
